epoch;accuracy;iou_coef;loss;val_accuracy;val_iou_coef;val_loss
0;0.6272852;0.22994894;0.2957079196141826;0.6580088;0.24293093;0.30041117742657664
1;0.5527025;0.2336476;0.2943375770416525;0.39226505;0.24688807;0.2993395045399666
2;0.6478773;0.26433766;0.2752389911148283;0.8021678;0.3191412;0.2501498065888882
3;0.76382226;0.31882942;0.24338879154788123;0.82382;0.34829274;0.23298491140206654
4;0.7862237;0.3317377;0.23514118856853908;0.81068015;0.35978344;0.22574849650263787
0;0.48371014;0.23812881;0.2987043932080269;0.30185935;0.22503763;0.2916355073451996
1;0.32731315;0.23837806;0.2986437242064211;0.30185935;0.2252326;0.2916338030497233
0;NA;NA;NA;NA;NA;NA
0;0.36805242;0.23558922;0.2971303237146801;0.31793967;0.23125412;0.295707985162735
1;0.3218991;0.23583147;0.29709217859639064;0.3166335;0.2314227;0.2956863621870677
0;NA;NA;NA;NA;NA;NA
0;0.33208728;0.23794264;0.2990303324328529;0.29980123;0.22341411;0.2910677985350291
1;0.32729417;0.23858023;0.29861092819107904;0.29980022;0.22361895;0.291070476770401
0;NA;NA;NA;NA;NA;NA
0;0.38982272;0.23554978;0.29719968232843613;0.32199788;0.23513524;0.29719355404376985
1;0.32442477;0.23430346;0.2966407422886954;0.32227886;0.23527974;0.29717073520024617
2;0.32015544;0.23459774;0.2965871563884947;0.3219922;0.23543653;0.29714197357495625
3;0.32009387;0.23475282;0.29656089762846627;0.32198527;0.23561276;0.2971129685640335
4;0.31991863;0.23491308;0.29653735121091207;0.32201946;0.23576261;0.2970888686180115
5;0.32010707;0.23509379;0.2965174761083391;0.32198283;0.23591621;0.29706503748893737
6;0.31990993;0.23521328;0.29649747166368695;0.32198548;0.23606722;0.29704208215077715
7;0.3199104;0.23532502;0.2964771244923274;0.32201314;0.23618996;0.2970237644513448
8;0.3199303;0.23544624;0.2964606845378876;0.32201234;0.23631597;0.2970055961608887
9;0.32064894;0.23559383;0.29644589841365815;0.322063;0.23645103;0.2969865256547928
10;0.32006896;0.23573606;0.29642945137288834;0.32347086;0.23655772;0.2969715984662374
11;0.31998378;0.23588464;0.2964124051067564;0.32214397;0.23671626;0.29695048948129016
0;0.3620059;0.23704614;0.2980339535077413;0.30672446;0.22703308;0.2929746037721634
1;0.32498616;0.23728152;0.29798761308193206;0.30672446;0.22723109;0.29296492636203764
2;0.32498616;0.23756362;0.29794623613357546;0.30672446;0.22743706;0.2929562034209569
3;0.32498616;0.23777351;0.297905526359876;0.30672446;0.22762968;0.292949342528979
4;0.32498616;0.23790534;0.29786981761455533;0.30672446;0.22781774;0.29294374187787375
5;0.32498616;0.23817469;0.29783247735765245;0.30672446;0.22801317;0.2929391308625539
6;0.32498616;0.23833416;0.29779946095413634;0.30672446;0.22818474;0.29293606996536253
7;0.32498616;0.238548;0.2977684995200899;0.30672446;0.22836146;0.2929339689016342
8;0.32498616;0.23872724;0.2977399161789152;0.30672446;0.22851573;0.2929329959551493
9;0.32498616;0.23892404;0.2977135424481498;0.30672446;0.22868754;0.2929327682654063
10;0.32498616;0.23906633;0.2976873448822233;0.30672446;0.22883797;0.2929334197441737
11;0.32498616;0.23925163;0.29766426271862456;0.30672446;0.22900383;0.29293496350447334
12;0.32498616;0.23945351;0.2976467886235979;0.30672446;0.22915891;0.29293727238972983
13;0.32498616;0.23961292;0.2976225382089615;0.30672446;0.22929397;0.29293991406758624
0;0.32114604;0.23187773;0.2978216286500295;0.33127603;0.24117053;0.29972310761610665
1;0.316941;0.232502;0.2957624946700202;0.33124694;0.2413126;0.29968421002229056
2;0.31693318;0.2326675;0.2957434782054689;0.3312264;0.24148265;0.2996406920750936
3;0.31691054;0.2328074;0.29572303427590263;0.33122194;0.24162583;0.2996068904797236
4;0.3169091;0.23294005;0.29570597993002995;0.33121726;0.24177358;0.2995718139410019
5;0.31690347;0.23308414;0.2956896690527598;0.331202;0.24189366;0.29954381068547564
6;0.31689128;0.23321612;0.2956731198893653;0.33120424;0.24205889;0.299507626692454
7;0.3168933;0.2333365;0.29565941558943853;0.33120036;0.24216422;0.2994848910967509
8;0.3168872;0.23348925;0.2956483793920941;0.331191;0.24233267;0.29944918195406595
9;0.31689325;0.23356947;0.29563485953542923;0.33120686;0.2424085;0.29943415681521096
10;0.31689405;0.23368764;0.2956229513221317;0.33119568;0.2425431;0.2994051937262217
11;0.31689495;0.23382616;0.295613446964158;0.33119547;0.24267097;0.2993801462650299
12;0.31689906;0.23393874;0.29560361325740814;0.33119792;0.24275334;0.2993639349937439
13;0.31689453;0.23397984;0.29559412214491104;0.33119872;0.24285115;0.2993440304199855
14;0.3168948;0.23410253;0.2955872025092443;0.33119956;0.24298081;0.2993192420403163
15;0.3169043;0.23418579;0.2955757967631022;0.3312087;0.24306491;0.29930406232674917
16;0.31690708;0.23429367;0.29556915144125623;0.33119994;0.24315326;0.2992861435810725
17;0.31689298;0.23433413;0.2955612321694692;0.33121136;0.24324659;0.29926972806453706
18;0.31691378;0.23440741;0.29555535356203716;0.33119038;0.24332291;0.299254247546196
19;0.31691143;0.23456267;0.29554860843552483;0.33122987;0.24344197;0.2992367418607076
20;0.31690165;0.23467566;0.2955458830462562;0.3312504;0.24351965;0.29922737161318463
21;0.31691703;0.23475055;0.29553790867328644;0.33124897;0.24359451;0.29920657018820446
22;0.31689298;0.23475535;0.2955326086945004;0.33119914;0.24366531;0.2991950613260269
23;0.3169174;0.23486657;0.2955266555812624;0.33120668;0.2437442;0.2991768014431
24;0.31690368;0.23491903;0.2955231463246875;0.33123007;0.24382873;0.2991645640134811
25;0.31692865;0.23499352;0.295517607000139;0.33121154;0.24388288;0.2991534920533498
26;0.31691664;0.23504144;0.29551642311943904;0.33121297;0.24398732;0.2991390566031138
27;0.31692538;0.23509066;0.2955123213264677;0.33124572;0.24401288;0.29913773079713185
28;0.31693596;0.23518535;0.2955077109734217;0.33125997;0.24409243;0.29912221411863965
29;0.3169287;0.2352153;0.2955072873830795;0.33119792;0.2441624;0.29910730381806694
30;0.31691048;0.2352975;0.29550285120805103;0.33120972;0.24422616;0.2990999186038971
31;0.31693333;0.23540007;0.29549785554409025;0.33126342;0.24427983;0.2990913027524948
32;0.3169186;0.23540889;0.29549716975953844;0.33123007;0.24432534;0.2990868441263835
33;0.31693894;0.23543692;0.29549228966236113;0.33124104;0.2443745;0.29907955447832746
34;0.3169511;0.23546559;0.29548990686734516;0.33135682;0.24442166;0.2990805818637212
35;0.31696695;0.23556755;0.2954899253447851;0.3312313;0.2444961;0.29905555486679075
36;0.31695813;0.23556961;0.29548499590820737;0.3312154;0.2445302;0.2990500090519587
37;0.31694865;0.23564345;0.29548286391629114;0.33117616;0.24457817;0.2990419179201126
38;0.3169245;0.23565221;0.2954836869902081;0.33120137;0.24460386;0.2990395170450211
39;0.31696153;0.2357253;0.29547841336992053;0.331262;0.24466553;0.29903242429097493
40;0.3169982;0.23577584;0.29547691775692836;0.3313796;0.24468574;0.2990593159198761
41;0.31699184;0.23580328;0.2954771159754859;0.33127198;0.2447527;0.29902075787385307
42;0.31697762;0.23586302;0.2954748539129893;0.3313027;0.2447864;0.29901691754659016
43;0.31699055;0.23585902;0.2954727999369303;0.33123088;0.2448204;0.2990090823173523
0;0.6812168;0.23289078;0.33582575930489433;0.67210305;0.23794311;0.3223966733614604
1;0.68205416;0.2320085;0.32069138871298897;0.672124;0.2372425;0.321950675646464
2;0.6820611;0.23132032;0.3202562050024668;0.6721295;0.23654757;0.3215825132528941
3;0.68206084;0.23067464;0.3198658833238814;0.67213094;0.23591237;0.32126603126525877
4;0.6820619;0.23006368;0.3194986425505744;0.6721301;0.23525673;0.3209555546442668
5;0.68206227;0.22947852;0.31915437565909494;0.6721299;0.2346204;0.32066619674364727
6;0.68206257;0.22887558;0.3188298792309231;0.6721301;0.23402686;0.3204075523217519
7;0.6820636;0.22831553;0.31852428767416213;0.67212933;0.23343176;0.3201600782076518
8;0.68206304;0.22769226;0.3182414064142439;0.6721301;0.2328498;0.3199271814028422
9;0.68206334;0.2271951;0.3179726152949863;0.6721299;0.23226821;0.31970503568649294
10;0.682063;0.22669786;0.3177216527197096;0.67213076;0.23171543;0.3195025626818339
11;0.68206394;0.22614104;0.31748159382078384;0.67213196;0.23120679;0.3193240229288737
12;0.6820635;0.22562276;0.31726090921296013;0.6721311;0.2306912;0.31915135224660235
13;0.6820634;0.22517301;0.31705339683426753;0.67213094;0.2301681;0.31898324529329936
14;0.68206286;0.22466852;0.3168564973937141;0.67213136;0.22965401;0.3188254459698995
15;0.6820636;0.22418477;0.31667129397392274;0.67213136;0.22919543;0.3186909822622935
16;0.6820647;0.22373547;0.31649816181924606;0.67213136;0.22871655;0.3185570991039276
17;0.6820648;0.22330181;0.3163366946909163;0.67213196;0.2282721;0.31843831737836203
18;0.68206495;0.2228739;0.3161861867374844;0.6721311;0.22781034;0.3183213174343109
19;0.68206394;0.22243625;0.31604453682899475;0.67213154;0.22738574;0.31821746786435445
20;0.68206406;0.22202612;0.31591130163934494;0.67213136;0.22699003;0.3181255698204041
21;0.682064;0.22163552;0.315787439611223;0.67213136;0.2265779;0.3180344796180725
22;0.68206376;0.22124708;0.31567154275046455;0.67213136;0.22615664;0.3179458848635356
23;0.68206435;0.22087015;0.31556131680806476;0.6721311;0.22579016;0.31787259856859845
24;0.6820657;0.2205235;0.31545978963375093;0.67213213;0.22541665;0.3178008298079173
25;0.682065;0.2201532;0.3153668959935506;0.67213213;0.22504018;0.31773292223612465
0;NA;NA;NA;NA;NA;NA
0;0.59294754;0.22086337;0.3630688628885481;0.6268374;0.22677511;0.3212453544139862
1;0.64696515;0.22716668;0.3201452599631415;0.6588273;0.22907753;0.31993717948595685
2;0.6646503;0.22537503;0.31898331708378264;0.6636544;0.22824611;0.31910094459851585
3;0.66997236;0.2254279;0.31826592498355444;0.66888386;0.21981634;0.31857595046361287
0;0.6710748;0.22421731;0.31807067573070524;0.670069;0.22345331;0.3178230543931325
1;0.67412436;0.22372904;0.3174846945868598;0.6749455;0.22090864;0.3173590020338694
2;0.6780811;0.22139141;0.31747740394539303;0.6769342;0.22189882;0.31681779384613035
0;0.6776975;0.22929224;0.7570003162489997;0.6575822;0.24488719;0.32444455742836
1;0.6869116;0.22978927;0.3199901244375441;0.6575824;0.24410492;0.3241319930553436
2;0.6869116;0.22912306;0.3195263010925717;0.6575824;0.24333127;0.3238402291138967
3;0.68691146;0.22841828;0.31908224595917595;0.6575824;0.2425984;0.32357897122701007
4;0.68691146;0.22776258;0.3186642425590091;0.6575826;0.2418512;0.3233275266488393
5;0.6869116;0.2271165;0.31826844758457606;0.6575824;0.24114583;0.32310332616170245
6;0.6869116;0.22651048;0.3178974811236064;0.6575824;0.24041165;0.32288461963335674
7;0.6869116;0.22589962;0.3175457501411438;0.6575826;0.23973392;0.322694935798645
8;0.6869116;0.22530548;0.3172173670927684;0.6575824;0.23908821;0.3225256590048472
9;0.6869112;0.22469388;0.316909550163481;0.6575826;0.23840995;0.32235856612523395
10;0.6869116;0.22409542;0.3166175940301683;0.6575824;0.23778386;0.3222147675355275
0
0;0.68114066;0.23138823;0.36040215108129714;0.6649009;0.24439427;0.3122456693649292
1;0.6844695;0.23048377;0.3080849368042416;0.66490114;0.24409057;0.3122132976849874
2;0.6844699;0.23021081;0.308009172545539;0.6648999;0.24379158;0.31218645135561623
3;0.6844698;0.22997934;0.30793802234861584;0.66490054;0.24351265;0.3121623718738556
4;0.6844698;0.22966824;0.3078691381878323;0.6649009;0.2431939;0.3121388065814972
5;0.68446976;0.22942796;0.3078067974249522;0.66490114;0.24292119;0.312118460337321
6;0.68446976;0.22917461;0.30774818844265406;0.6649013;0.24265058;0.31210161407788595
