Index,Iteration,Mean IoU,Filters,Learning rate,Pre processing,Whitening,Batch size,Dropout,Elastic proportion
1,11,0.6298207441965739,64,0.00014090932889795156,Standardize,0.0,4,0.30955484064470234,0.19494503271298183
2,25,0.6282367904980978,64,0.00013136262357866897,Standardize,0.0,4,0.3401193931955537,0.0850117340047106
3,26,0.6258543133735657,64,0.00013420207311452614,Standardize,0.0,3,0.3391373392113418,0.10550501893994087
4,29,0.6243253350257874,64,0.00013096319727204158,Standardize,0.0,4,0.35717375935782786,0.07727114489594114
5,30,0.6171428561210632,64,9.916478805954376e-05,Standardize,0.0,3,0.3480935762167737,0.06789228415694672
6,28,0.6144412557284037,64,0.0003351035363445154,Standardize,0.0,6,0.32246238639593483,0.1171054132295595
7,14,0.5991080005963644,32,0.00021815719835180055,Standardize,0.0,4,0.3929095768449694,0.012230509073044328
8,12,0.5923071702321371,64,0.00024445846789603455,Standardize,0.0,2,0.359477224474563,0.16989551830494187
9,23,0.5709786216417948,32,7.063920809636638e-05,Standardize,0.0,3,0.3082102848739758,0.1806951990200728
10,15,0.5404731432596842,64,2.009817528381508e-05,Standardize,0.0,2,0.3098588803463046,0.14290808038035943
11,22,0.5345476865768433,32,0.00010983794494963827,Standardize,0.0,6,0.38780604579967504,0.1986634224448673
12,27,0.5300147533416748,64,6.167595716131189e-05,Standardize,0.0,5,0.30111822540038286,0.08531743136727321
13,5,0.5269177158673605,64,0.00048656548495718796,Normalize,0.0,5,0.45478889496781805,0.1538669068023616
14,10,0.5253591934839884,32,0.0003164384782168319,Normalize,0.0,2,0.45027697924953025,0.03032240297519906
15,19,0.5158597628275553,32,0.00022869939451504375,ZCA,0.0037748188075308275,1,0.40733935842350494,0.1189091799075886
16,21,0.5128340522448221,32,8.00315692912487e-05,Standardize,0.0,4,0.38824941672913327,0.19249262081585322
17,4,0.5013714035352071,64,4.781116141905116e-05,ZCA,0.015318849475282961,4,0.4106486541555162,0.13334932219233636
18,2,0.491515854994456,64,4.320597648123464e-05,Standardize,0.0,3,0.4798712991959543,0.06112251717334494
19,24,0.4899698495864868,32,1.384922111461124e-05,Standardize,0.0,4,0.4932825253539644,0.049431481055833
20,9,0.48213714361190796,64,3.664180387687465e-05,ZCA,0.02957524407129063,2,0.47499732198662425,0.008592491093412492
21,18,0.462708314259847,64,0.00011224156482347689,Normalize,0.0,5,0.46461992015935927,0.13220387085097493
22,1,0.45966755350430805,32,3.7982061358543724e-05,Normalize,0.0,5,0.36020763172305503,0.07716290101627904
23,17,0.4536040425300598,32,0.00021147805044659078,Normalize,0.0,4,0.3344809561592838,0.03899885160924661
24,8,0.4490995605786641,64,2.7859741670445903e-05,Normalize,0.0,5,0.3701850043894109,0.16489088048841516
25,16,0.44457759459813434,64,0.00018262666557405396,Normalize,0.0,6,0.47372111858114274,0.09182226836497726
26,20,0.4423261185487111,64,0.0004497955641651368,Standardize,0.0,1,0.43728157343182517,0.02007720951202794
27,3,0.4205004870891571,32,0.00017008101093721572,ZCA,0.06338007538200105,3,0.42876966787118487,0.13313538013274379
28,7,0.3817046284675598,32,2.0872542220641717e-05,ZCA,0.008948845312973219,2,0.42080763207413296,0.020383047441271396
29,6,0.3800717393557231,32,2.498823346629348e-05,ZCA,0.03340326757030592,2,0.3242468094426462,0.06724034088167417
30,13,0.29558058579762775,64,0.0005322819762618734,Normalize,0.0,1,0.42053412844898996,0.10026504405600972
