Index,Iteration,Mean IoU,Filters,Learning rate,Pre processing,Batch size,Dropout,Elastic proportion
1,34,0.6820467114448547,32,0.0003524049464600419,Normalized,5,0.3890041346395427,0.19210671503803922
2,67,0.6809183955192566,64,2.690974750163105e-05,Normalized,3,0.49933286634680285,0.15994800545737992
3,65,0.6797841191291809,64,2.4124299060585518e-05,Normalized,3,0.4784319765284319,0.19662121946906289
4,41,0.6796978116035461,32,0.00027838516749399954,Normalized,6,0.33807422803084103,0.14583251423131652
5,58,0.6764609813690186,32,0.00018685017498586934,Normalized,6,0.30801819338442227,0.18251875921580532
6,5,0.675839900970459,32,0.00022333346862190635,Standardized,5,0.37519099762825014,0.14670206350490445
7,38,0.675460159778595,32,0.0003713306875278451,Normalized,3,0.3924341892928056,0.17504170511177736
8,48,0.6744948029518127,32,0.0001575873105050086,ZCA: 1e-1,4,0.32328378777534844,0.1878710587526613
9,42,0.6727848052978516,32,0.0002575537381241342,Normalized,6,0.34078338298410876,0.15061919202897694
10,39,0.6724478602409363,32,0.00014983416326127627,ZCA: 1e-2,4,0.38827351601448984,0.08850533449185781
11,25,0.6715332865715027,64,2.816037463175578e-05,Standardized,5,0.3558313550445457,0.15829148898471038
12,30,0.6714146733283997,64,5.3086907838609104e-05,Standardized,6,0.3023209677998503,0.07047653844508556
13,49,0.6704128384590149,16,0.0007968076761757126,Normalized,3,0.40174182995902374,0.10676006425035073
14,33,0.6702234148979187,64,2.128816388181101e-05,Standardized,5,0.4199231620751859,0.1483322268852768
15,44,0.6687960624694824,32,0.00048429906786836473,Normalized,6,0.33446100210555946,0.09597216681444828
16,4,0.6671832203865051,64,3.736288700044318e-05,ZCA: 1e-5,1,0.40001552965278125,0.11074866681133247
17,29,0.6667516827583313,64,0.0001352729262683401,ZCA: 1e-2,5,0.3818208633742597,0.15507958196876742
18,68,0.6662694215774536,64,2.3092300496887547e-05,Normalized,3,0.4913896410042717,0.15968419255643837
19,60,0.6645780801773071,32,0.0002914781778093883,ZCA: 1e-3,5,0.3973680031110019,0.17717764580445375
20,66,0.6642736792564392,64,1.2857986456876917e-05,Normalized,3,0.4813708604544677,0.1949172947715642
21,55,0.6637656688690186,16,0.0006310881219649783,ZCA: 1e-1,4,0.36918464507599114,0.07036275911030918
22,52,0.6634149551391602,16,0.00043724008489710376,ZCA: 1e-3,1,0.37835243370606897,0.08504555897541154
23,56,0.6624815464019775,32,0.00012028968400849397,ZCA: 1e-4,1,0.387964621684704,0.17222274838938645
24,37,0.6600466966629028,32,0.0007542231621453315,Normalized,2,0.4121053760301829,0.12658634972647725
25,28,0.6597908139228821,32,2.2368185462358094e-05,Standardized,5,0.3511728164051885,0.18036214600590286
26,24,0.6595924496650696,32,0.00020964011595596822,ZCA: 1e-5,5,0.38157116668187296,0.11490221341130141
27,22,0.6594976782798767,64,3.2140585171393635e-05,Standardized,3,0.36609195885013174,0.00951355825054298
28,43,0.6584754586219788,32,0.0006452652634692928,Normalized,6,0.31623881896655837,0.1296830702407013
29,13,0.658342182636261,32,9.577097768415689e-05,ZCA: 1e-3,4,0.34204630184041596,0.10813500101421558
30,9,0.6580348610877991,64,1.4558574647280962e-05,ZCA: 1e-1,1,0.3749349082378933,0.0017009202356278676
31,12,0.6579683423042297,32,5.418693761613669e-05,ZCA: 1e-6,1,0.49782081763573843,0.1240902045935161
32,50,0.6575420498847961,32,0.00029413189403221327,ZCA: 1e-6,2,0.4424969214816774,0.13350640615967688
33,40,0.6571669578552246,32,7.505897971279616e-05,ZCA: 1e-6,5,0.3694011047353389,0.19266780292235225
34,31,0.6557183861732483,64,0.00032278227356966413,Standardized,3,0.3548155692314377,0.17055429716028098
35,16,0.654968798160553,16,0.000550309013139632,ZCA: 1e-3,2,0.3276907582693485,0.07956946795973117
36,35,0.6539244651794434,32,0.0003979504975027734,Normalized,6,0.43291697527185913,0.19001859130125862
37,36,0.650862991809845,32,0.00018567041802976985,Normalized,5,0.4727905425147629,0.037543257144447034
38,27,0.6504697799682617,32,0.0009263209221971922,Standardized,5,0.43187838676050644,0.16136195381023183
39,54,0.6504514813423157,32,0.000100216793966042,ZCA: 1e-5,2,0.4188594573121271,0.10050567944097491
40,26,0.6498063206672668,64,6.660333525943747e-06,Standardized,5,0.3559377680603965,0.19649990676928053
41,10,0.6457512974739075,16,5.4362839881744074e-05,ZCA: 1e-1,1,0.3293812699596748,0.09484274341994872
42,53,0.6451458930969238,32,7.076530523910745e-05,ZCA: 1e-2,6,0.3351989596310058,0.02223404203995566
43,14,0.6447964310646057,16,9.007779208695558e-05,ZCA: 1e-3,4,0.30664573065049155,0.054136103608842114
44,45,0.6434211134910583,16,7.33720705205822e-05,Normalized,6,0.40618489585392936,0.11782697318309633
45,19,0.6404150128364563,16,0.00011265533345348901,ZCA: 1e-4,6,0.45588261388122353,0.1807283452094578
46,15,0.6403377056121826,32,0.0005553405561997338,Normalized,1,0.4958419492715499,0.13725252836366836
47,6,0.6368234157562256,64,2.2023907301788742e-06,Standardized,5,0.42461850168474813,0.15889041746801652
48,11,0.633882999420166,32,1.3684006941100072e-05,ZCA: 1e-1,3,0.3958547168614475,0.052321555155959265
49,62,0.6308879256248474,64,4.537862025850752e-06,ZCA: 1e-1,1,0.43308433691225356,0.13478824967520195
50,46,0.6225322484970093,32,4.3303638294525804e-05,ZCA: 1e-4,6,0.34566066278487007,0.16779440640494328
