Index,Iteration,Mean IoU,Filters,Learning rate,Pre processing,Batch size,Dropout,Elastic proportion
1,21,0.6791969736417135,64,0.0002106602197226953,ZCA: 1e-1,5,0.31789600596684,0.12601050376585873
2,16,0.6787277062733968,64,0.0002363660656587587,ZCA: 1e-1,4,0.3521684583860633,0.12401281969701622
3,7,0.6750562389691671,64,0.00035023731252790117,Normalized,5,0.3646034606551499,0.12704819003592938
4,35,0.6747698783874512,32,0.0001854918524002597,ZCA: 1e-1,1,0.3764101520224484,0.19577503145807923
5,26,0.6726683378219604,64,0.00027055498899390234,ZCA: 1e-1,4,0.3690806659385446,0.07322341132587146
6,8,0.6724107066790262,32,6.130558082395384e-05,Standardized,6,0.348836749670316,0.176369072564814
7,24,0.6710516214370728,64,0.00015766511996146858,ZCA: 1e-1,5,0.3017640968525752,0.12166936386596615
8,23,0.6697376569112142,64,0.0002083157651638976,ZCA: 1e-1,1,0.3147996800962123,0.15116077711649856
9,14,0.6667082707087199,64,1.1975029781125272e-05,Standardized,4,0.49673196873122,0.09311215154536866
10,32,0.6662368774414062,64,0.00022446491034954527,ZCA: 1e-1,4,0.4679921254010778,0.10801820408286107
11,34,0.66594930489858,64,0.00014596872865043175,ZCA: 1e-2,4,0.3295394718159563,0.04769473367477735
12,13,0.6649675766626993,32,4.4487447648256086e-05,ZCA: 1e-2,2,0.4097682547701044,0.09019220524789107
13,19,0.6646756331125895,64,0.0002789179835015131,ZCA: 1e-1,2,0.3405616172055254,0.1761977710786059
14,27,0.6638554533322653,64,0.00012952555668666233,ZCA: 1e-1,4,0.32941463233945933,0.13201980833740304
15,10,0.6627395749092102,32,8.443231616201183e-05,ZCA: 1e-2,3,0.3869789370500275,0.008516434178287935
16,22,0.6623532374699911,64,0.00016878706530467196,ZCA: 1e-1,3,0.30084538359198854,0.06830419160069162
17,11,0.6591126322746277,32,6.385906159214175e-05,Standardized,5,0.48332540734009083,0.01841213366960768
18,5,0.6588398814201355,64,0.00046849956603585094,Standardized,4,0.39336898049182056,0.17030830445375592
19,6,0.6549399693806967,64,0.00011463579021792662,Normalized,6,0.33670411571253,0.0011310956766563685
20,3,0.6536982456843058,64,8.988597637123631e-05,ZCA: 1e-3,2,0.49089129185572483,0.18595142208921434
21,29,0.6508985161781311,64,0.000344571076848424,ZCA: 1e-1,1,0.3164022471494354,0.047638866262346424
22,2,0.6433240175247192,64,1.8075312590346883e-05,Normalized,6,0.4515236097585381,0.005352058901165791
23,28,0.6431152621905009,64,3.77455857326935e-05,ZCA: 1e-3,3,0.3596613336381313,0.10941746493986705
24,15,0.6423125465710958,64,2.2363436947552314e-05,ZCA: 1e-3,4,0.42130992861610783,0.04768595806740681
25,9,0.6362300316492716,32,8.386187130727747e-05,ZCA: 1e-4,2,0.38438931376118685,0.10971428226748879
26,4,0.6294876138369242,32,2.3606498006047683e-05,Normalized,5,0.34342361389545883,0.1925976453424916
27,18,0.5986364881197611,64,0.00049920655854389,ZCA: 1e-1,1,0.37730853464253,0.09545670383310689
28,20,0.5697030425071716,64,1.1548196347169264e-05,ZCA: 1e-4,2,0.4435242904739172,0.020311197512588697
29,25,0.5659084816773733,64,0.0008299657394238298,ZCA: 1e-1,5,0.3243993295877786,0.1512594605438144
30,12,0.5630109012126923,32,1.7510563515574596e-05,Normalized,4,0.4373074779160817,0.00562026778942506
31,31,0.5499469041824341,64,0.000917072775008043,ZCA: 1e-1,5,0.4107560384985219,0.07661291620757422
32,17,0.47772571444511414,64,0.0005992125872583235,ZCA: 1e-2,6,0.3526928451871132,0.14132473859078049
33,33,0.427243173122406,64,0.00040428641401836203,ZCA: 1e-3,5,0.3048321216487589,0.1361879850821405
34,30,0.347312053044637,64,0.0006620307769645324,ZCA: 1e-4,5,0.3158713752755604,0.15916340032807302
35,1,0.3061073025067647,64,0.0008800168657122199,ZCA: 1e-4,2,0.31674726660571106,0.024612196855645776
