Index,Iteration,Mean IoU,Filters,Learning rate,Pre processing,Batch size,Dropout,Elastic proportion
1,10,0.6396510004997253,32,0.0005926432755806526,Standardized,2,0.3600395150807535,0.11345571156171137
2,34,0.6327502330144247,32,0.00028597248063414013,Standardized,6,0.3687536285819524,0.0031356376502455208
3,2,0.6284443537394205,64,0.0002610026914783421,Standardized,5,0.48752380623989733,0.07736885583750426
4,31,0.6232571005821228,64,4.714007705026714e-05,Standardized,2,0.4314068945569919,0.19757538628040364
5,23,0.611437718073527,64,5.1613656358481355e-05,Standardized,5,0.30313317464882994,0.10507235429691636
6,33,0.6108390092849731,32,6.684670510051991e-05,Standardized,1,0.45500312053228564,0.15439633235468275
7,27,0.5887175798416138,64,0.000590887464878403,Standardized,6,0.37167139167158064,0.10469017086344107
8,8,0.5679355263710022,32,0.000951430697130194,Normalized,2,0.4045267027411699,0.11597886030431533
9,21,0.5653498570124308,32,0.00028928650532517887,Standardized,5,0.4220640887481843,0.09480136447756243
10,14,0.5647028485933939,64,0.00021482821016555192,Normalized,1,0.47186495457752964,0.03174305338337837
11,26,0.5556101401646932,32,0.00021267508238333033,Standardized,5,0.41597807003991916,0.04650187386247628
12,3,0.5499446392059326,64,8.94008571778586e-05,ZCA: 1e-4,1,0.3590081035044529,0.17633551521591692
13,35,0.5404790242513021,32,0.0003995349550038584,Standardized,6,0.3686043917070938,0.00016663302785366665
14,24,0.5404573480288187,32,0.00042680191330194707,Standardized,5,0.4445766613758557,0.07884891197615977
15,9,0.5382378300031027,64,9.347497023754872e-05,ZCA: 1e-4,2,0.35636504092965254,0.16498238313893235
16,22,0.5165261626243591,32,0.0002107257044170563,Standardized,5,0.3553520419016735,0.08498867053082039
17,11,0.5097469886144003,64,7.517765162070926e-05,ZCA: 1e-2,4,0.3810646704972124,0.11826346309408493
18,12,0.4846351544062297,64,1.2694503057049927e-05,ZCA: 1e-4,2,0.38142918964512523,0.06275679679465976
19,18,0.48221391439437866,32,0.0006656100122230401,ZCA: 1e-2,4,0.4385223389361538,0.125151987085549
20,13,0.48172295093536377,64,0.00013551944423177426,ZCA: 1e-3,5,0.38242139772795647,0.16670038269495976
21,4,0.4815896948178609,32,1.1580564545310174e-05,Standardized,4,0.45840285816846615,0.004570163439667052
22,19,0.44670361280441284,64,0.00012763742421893667,Normalized,2,0.4796930637521435,0.06639389794909782
23,15,0.44463349382082623,32,0.0003525731549632231,ZCA: 1e-3,6,0.47679737268326317,0.13464258097482082
24,28,0.43807245294253033,32,0.0002978398649784711,ZCA: 1e-1,3,0.3159769696520323,0.017450318616247996
25,6,0.43034767111142475,32,1.622127032883962e-05,Standardized,4,0.39306990249667395,0.037902497480119514
26,20,0.4022374252478282,64,1.0454334468018467e-05,ZCA: 1e-3,1,0.48835929152351415,0.05865884001495936
27,30,0.39536967873573303,32,0.00015743214516844768,ZCA: 1e-2,5,0.4970152408976409,0.1350093349835692
28,7,0.3863040606180827,64,0.0004915930397931034,ZCA: 1e-1,3,0.3247158055254147,0.14467907650927017
29,17,0.3711441953976949,32,2.0499162492259626e-05,ZCA: 1e-3,3,0.3318700663727557,0.06328736604888326
30,5,0.3457796573638916,32,2.8616681064263988e-05,Normalized,6,0.3026214768235578,0.19379153114377995
31,32,0.32158047954241437,64,0.00046711696270249634,ZCA: 1e-4,3,0.4068906767246358,0.10831029986325112
32,16,0.32113144795099896,32,1.05393755865171e-05,Normalized,4,0.4785572568266376,0.0903400478974959
33,25,0.29497987031936646,64,0.0009756219070764869,ZCA: 1e-1,2,0.3369993605111944,0.14646069242986115
34,1,0.29178409775098163,64,0.0007532154918099177,ZCA: 1e-2,2,0.4935887420022781,0.021896385762467375
35,29,0.29112008213996887,64,0.0008128797143804988,Standardized,2,0.34548200471313384,0.077219132317159
