Index,Iteration,Mean IoU,Filters,Learning rate,Pre processing,Whitening,Batch size,Dropout,Elastic proportion
1,24,0.6280125180880228,64,4.716605584728652e-05,Standardize,0.0,2,0.4041418594055863,0.09906742922103612
2,23,0.6245514750480652,64,5.094040694427819e-05,Standardize,0.0,1,0.3995807018202219,0.05594725903042759
3,25,0.6222628951072693,64,3.8427981002093134e-05,Standardize,0.0,1,0.40538120959113544,0.10805841641518894
4,16,0.6134690046310425,64,6.757575728996644e-05,Standardize,0.0,3,0.37779165786617236,0.08234305628289976
5,21,0.5874534249305725,64,4.650151367551411e-05,Standardize,0.0,3,0.4781642142361715,0.06202665287832977
6,6,0.5841838121414185,64,3.2006384037172815e-05,Standardize,0.0,4,0.4649649601039749,0.0783321056378306
7,4,0.583245317141215,64,0.00019653930553081527,Normalize,0.0,2,0.31720946401397426,0.021723012997903603
8,5,0.5741374890009562,64,0.00041822081715928985,Normalize,0.0,2,0.41796859669757325,0.16269360450345494
9,3,0.5738020737965902,32,0.0001754311371699734,Normalize,0.0,3,0.36669328145661717,0.015559686178622734
10,13,0.5619996885458628,64,0.00031607018552482494,Normalize,0.0,2,0.4982244013812653,0.14637105381646615
11,22,0.5548074642817179,64,6.324358539244001e-05,Standardize,0.0,3,0.4969192881895672,0.05610926266717342
12,7,0.5428459644317627,32,2.186569142815993e-05,Standardize,0.0,2,0.31422883348144126,0.11967573207044715
13,11,0.5173968076705933,32,0.0002493769578514183,ZCA,0.011314131658059263,4,0.3063919459689296,0.013201119934793427
14,26,0.5124946534633636,64,1.265602094421042e-05,Standardize,0.0,1,0.4191350016116427,0.05664595595599555
15,1,0.5041564702987671,64,1.7177265387615616e-05,Normalize,0.0,4,0.3025976861334091,0.08186768041662662
16,20,0.4843914707501729,32,2.5304122790526096e-05,Standardize,0.0,6,0.3011948018970062,0.08212345059218858
17,8,0.4814358154932658,32,0.00012199509460341224,Normalize,0.0,2,0.3278500976097252,0.11212291443426758
18,18,0.4793855547904968,32,0.0003015837203014196,Normalize,0.0,1,0.37617556765368665,0.04001313750916449
19,10,0.45452211300532025,64,9.834736013007946e-05,Normalize,0.0,6,0.4422564618621691,0.027745567020540787
20,19,0.44237784544626874,32,0.00010899552456937364,Normalize,0.0,3,0.43367734252725165,0.1316557417957292
21,2,0.42989415923754376,32,8.157535126359493e-05,ZCA,0.0007285391812444877,5,0.3480515220515914,0.07739552632128051
22,9,0.4203937848409017,32,0.0003772394909032289,ZCA,0.02668379779259051,5,0.3347973821069639,0.038428247199220646
23,14,0.4075462917486827,32,0.00012187843038020851,Normalize,0.0,4,0.32266947756293396,0.0023079796819547305
24,17,0.3858320713043213,64,0.00045569051767572983,ZCA,0.0017461403186504187,5,0.38670065775802814,0.1802110145322832
25,12,0.3638039827346802,32,2.4554544158361856e-05,Normalize,0.0,5,0.33360696061552075,0.08549234797894532
26,15,0.29265276590983075,64,0.0005555918130176154,ZCA,0.00021469847854385814,5,0.452277967789128,0.14659121992406932
