Index,Iteration,Mean IoU,Filters,Learning rate,Pre processing,Whitening,Batch size,Dropout,Elastic proportion
1,8,0.6430511871973673,32,8.649078990423376e-05,Normalize,0.0,2,0.458827304540381,0.14756059875269098
2,12,0.6336619655291239,32,5.321166191984233e-05,Normalize,0.0,3,0.3780109557567558,0.10930093194534003
3,15,0.5359564026196798,32,0.00040593034431417357,Standardize,0.0,2,0.33474015822757924,0.15415598844263595
4,13,0.5352398554484049,64,3.1893246967656735e-05,ZCA,0.03009948560627014,2,0.3771401908488628,0.14782738248215832
5,4,0.5162104268868765,32,0.00023645876450558413,ZCA,0.015134446977127902,3,0.30645233652752474,0.04583950171340317
6,10,0.5123193760712942,32,0.00012908921949184992,ZCA,0.00019954917624768025,3,0.47245542550532527,0.017610584098369554
7,2,0.4824160536130269,64,4.169906634465236e-05,Normalize,0.0,1,0.3735649002817508,0.014640098961907612
8,5,0.41916080315907794,32,0.00021737480894705582,Normalize,0.0,1,0.4116983858279334,0.012771979923735821
9,7,0.409631888071696,32,0.00017386494672766634,Normalize,0.0,1,0.44036070908562364,0.14460017859011196
10,9,0.2949398259321849,64,0.0002625562706402554,Normalize,0.0,1,0.4049252013145485,0.1586243315402578
11,11,0.2949280838171641,32,0.0003783186323218495,Normalize,0.0,1,0.4129927687647249,0.1351403778460718
12,3,0.2946689526240031,64,0.0005458754604779523,Normalize,0.0,1,0.49036092332732745,0.17268828101678388
13,6,0.2941727538903554,64,8.288862809443292e-05,ZCA,0.0015439957504060043,2,0.4221084033410721,0.08780557313027489
14,1,0.2935780684153239,64,0.0002903583983876764,ZCA,0.0026220308335831747,2,0.35150248386727867,0.05765316317101093
15,14,0.2896593014399211,64,0.00011701104019691374,Normalize,0.0,3,0.35890077775316354,0.08728470179739707
