Index,Iteration,Mean IoU,Filters,Learning rate,Pre processing,Batch size,Dropout,Elastic proportion
1,46,0.6815665364265442,64,6.298425963827283e-05,Normalized,4,0.35864199918174844,0.026849478913372152
2,29,0.6803216934204102,64,0.00010743619851700324,Normalized,6,0.45067719572538306,0.04888679119458925
3,44,0.6767961978912354,64,6.65812027174877e-05,ZCA: 1e-1,4,0.42174832093994447,0.06936293460209979
4,24,0.674414336681366,64,0.00018296270370168576,ZCA: 1e-1,6,0.4753875405019018,0.06821546803020534
5,22,0.6742167472839355,64,0.0001814907022356517,Standardized,6,0.4989908503734483,0.06812987589136438
6,39,0.673725426197052,64,8.239253030867837e-05,ZCA: 1e-1,6,0.46151611701936146,0.02733721946083128
7,18,0.6734326481819153,32,0.00015216948254347934,Standardized,4,0.4378939572964633,0.08480996011266423
8,15,0.6724929809570312,64,1.5679141999316372e-05,Standardized,3,0.4903778916395784,0.10316946633182628
9,11,0.6721920371055603,64,6.361046631918453e-05,Standardized,4,0.39827122807355475,0.07712655584660011
10,30,0.6711027026176453,64,9.890911399910261e-05,Normalized,6,0.4185128366910941,0.05286696080948818
11,37,0.6710421442985535,16,0.0009864919959583901,Normalized,2,0.4091112358868785,0.1731927325267851
12,17,0.6692478060722351,32,1.526304829580563e-05,Standardized,1,0.35968305027111913,0.1656709116607522
13,8,0.6678430438041687,64,3.421307808536804e-05,ZCA: 1e-4,1,0.3238240673682962,0.012564252788533592
14,35,0.667582094669342,16,4.559298838875619e-05,Normalized,2,0.47419079048675417,0.11949172012848072
15,43,0.6673555970191956,64,0.00010903335133735532,ZCA: 1e-5,1,0.3579601929709785,0.11208813684383731
16,33,0.667140007019043,64,0.0001232575696284506,ZCA: 1e-3,5,0.3825897017226003,0.04972661482297198
17,3,0.6665769219398499,32,2.8863980242302586e-05,Standardized,3,0.3388866853186119,0.011462210074150603
18,7,0.6662606596946716,32,0.0004928579193956146,Normalized,2,0.46134337296927774,0.032830590517840146
19,2,0.6657609939575195,32,5.203753256613685e-05,ZCA: 1e-3,2,0.4507872967977404,0.09255238942636164
20,16,0.6649825572967529,32,0.00031165627871364873,ZCA: 1e-2,5,0.42730263255860546,0.0408778305818949
21,28,0.6649235486984253,64,0.00024851652075011854,ZCA: 1e-6,6,0.47676231800450275,0.0006318173815067218
